file,n_utt,n_child,n_caregiver,n_other,caregiver_to_child_ratio,pct_mor,pct_gra,pct_rich_dep,pct_zero_tokens,mean_tokens,median_tokens,n_total_word_tokens,pct_control_word_tokens,pct_period,pct_question,pct_exclamation,pct_other_term,header_types,n_distinct_header_types,subcorpus,pool,child
030004,1904,857,1034,13,1.206534422403734,0.9296218487394958,0.9296218487394958,0.05567226890756303,0.10819327731092437,2.6418067226890756,2.0,5030,0.019880715705765408,0.6638655462184874,0.3240546218487395,0.005777310924369748,0.0063025210084033615,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030005,1733,787,946,0,1.2020330368487928,0.9717253317945759,0.9717253317945759,0.008655510675129832,0.042123485285631854,3.1130986728216965,3.0,5395,0.02650602409638554,0.6306982111944605,0.31332948643969993,0.013848817080207732,0.042123485285631854,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030006,2601,1323,1278,0,0.9659863945578231,0.8704344482891195,0.8704344482891195,0.0011534025374855825,0.1368704344482891,2.2587466359092656,1.0,5875,0.039829787234042555,0.7116493656286044,0.23952326028450596,0.04459823144944252,0.004229142637447136,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030009,2151,1094,1057,0,0.9661791590493601,0.9298000929800093,0.9298000929800093,0.008368200836820083,0.0697350069735007,2.790330079033008,2.0,6002,0.033988670443185605,0.7373314737331473,0.2291957229195723,0.025569502556950254,0.00790330079033008,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030010,1817,949,868,0,0.9146469968387777,0.9675288937809576,0.9675288937809576,0.006604292790313704,0.051733626857457346,3.302146395156852,3.0,6000,0.024333333333333332,0.6912493120528344,0.2438084755090809,0.014309301045679693,0.05063291139240506,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030011,1973,924,1049,0,1.1352813852813852,0.868727825646224,0.868727825646224,0.024328433857070453,0.11251900658895084,2.710086163203244,2.0,5347,0.03777819337946512,0.7516472377090725,0.2326406487582362,0.0,0.015712113532691332,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030012,1997,610,984,403,1.6131147540983606,0.9384076114171257,0.9384076114171257,0.004506760140210316,0.09113670505758638,3.225838758137206,3.0,6442,0.020800993480285624,0.5468202303455183,0.4246369554331497,0.012518778167250876,0.01602403605408112,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
030013,2197,993,1204,0,1.2124874118831823,0.9330905780609923,0.9330905780609923,0.0,0.12608101957214382,2.853891670459718,2.0,6270,0.021212121212121213,0.7360036413290851,0.23896222121074193,0.013654984069185253,0.01137915339098771,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Helen
020002a,930,303,627,0,2.0693069306930694,0.867741935483871,0.867741935483871,0.02043010752688172,0.0913978494623656,2.97741935483871,2.0,2769,0.04008667388949079,0.7720430107526882,0.22043010752688172,0.0,0.007526881720430108,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020002b,1302,606,696,0,1.1485148514851484,0.8294930875576036,0.8294930875576036,0.005376344086021506,0.1774193548387097,2.207373271889401,2.0,2874,0.07654836464857341,0.815668202764977,0.14516129032258066,0.0,0.03917050691244239,begin|comment|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,13,UK_long_long,English-UK,Eleanor
020003a,859,380,479,0,1.2605263157894737,0.7543655413271245,0.7543655413271245,0.033760186263096625,0.119906868451688,2.189755529685681,1.0,1881,0.18341307814992025,0.8533178114086146,0.12922002328288706,0.0,0.017462165308498253,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020003b,1595,656,939,0,1.4314024390243902,0.857680250783699,0.857680250783699,0.020689655172413793,0.16614420062695925,2.400626959247649,2.0,3829,0.06163489161661008,0.7899686520376176,0.18620689655172415,0.0,0.023824451410658306,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020004a,2256,407,1051,798,2.5823095823095823,0.8891843971631206,0.8891843971631206,0.0678191489361702,0.13918439716312056,2.68040780141844,2.0,6047,0.029436084008599307,0.6405141843971631,0.29609929078014185,0.0,0.06338652482269504,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020004b,1151,415,736,0,1.7734939759036144,0.894874022589053,0.894874022589053,0.0008688097306689834,0.06689834926151172,2.909643788010426,2.0,3349,0.061510898775753955,0.788879235447437,0.17549956559513466,0.0,0.035621198957428324,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
