file,corpus_dir,child,n_utt,n_speakers,n_participants_declared,has_investigator,n_caregiver_codes,duration_minutes,Situation,Activities,Location,Types,Transcriber,pct_xxx,pct_yyy,pct_www,pct_amp_event,pct_timecode,pct_plus_info,pct_CHI,pct_MOT,pct_FAT,pct_INV,pct_mor,pct_gra,pct_com,pct_sit,pct_act,pct_exp,pct_spa,pct_xpho,pct_err,pct_add,n_distinct_dep_tiers,subcorpus
020019,English-UK,Gail,1632,3,3,1,1,30.0,tape faulty. Fastforwarded for a few seconds then restarted.,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.04718137254901961,0.0,0.007352941176470588,0.007965686274509803,0.0,0.0,0.34375,0.6305147058823529,0.0,0.025735294117647058,0.9650735294117647,0.9650735294117647,0.007352941176470588,0.0006127450980392157,0.0,0.0030637254901960784,0.0,0.0,0.0,0.007352941176470588,7,Manchester
020025,English-UK,Gail,1432,3,3,1,1,30.0,Structured Play,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.06634078212290503,0.0006983240223463687,0.007681564245810056,0.0111731843575419,0.0,0.0,0.4155027932960894,0.5153631284916201,0.0,0.0691340782122905,0.9490223463687151,0.9490223463687151,0.008379888268156424,0.0,0.002094972067039106,0.0013966480446927375,0.0,0.0,0.0,0.008379888268156424,8,Manchester
020108,English-UK,Gail,1486,3,3,1,1,30.0,tape paused,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.06662180349932706,0.0,0.011440107671601614,0.017496635262449527,0.0,0.0,0.3344549125168237,0.6150740242261103,0.0,0.05047106325706595,0.9401076716016151,0.9401076716016151,0.008075370121130552,0.0,0.0,0.0006729475100942127,0.0,0.0,0.0,0.011440107671601614,6,Manchester
020115,English-UK,Gail,1391,3,3,1,1,30.0,Structured Play,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.06110711718188354,0.0,0.010064701653486701,0.012940330697340043,0.0,0.0,0.39324227174694465,0.5873472322070453,0.0,0.019410496046010063,0.9496764917325665,0.9496764917325665,0.008626887131560028,0.0,0.0,0.0,0.0,0.0,0.0,0.010783608914450037,5,Manchester
020205,English-UK,Gail,1622,3,3,1,1,30.0,Structured Play,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.10234278668310727,0.0,0.011713933415536375,0.010480887792848335,0.0,0.0,0.35388409371146734,0.5992601726263872,0.0,0.0468557336621455,0.9112207151664612,0.9112207151664612,0.008014796547472256,0.0006165228113440197,0.0,0.0006165228113440197,0.0,0.0,0.0006165228113440197,0.011713933415536375,8,Manchester
020212,English-UK,Gail,1621,3,3,1,1,30.0,phone rings,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.049352251696483655,0.0,0.009253547193090685,0.00863664404688464,0.0,0.0,0.3756940160394818,0.5700185070943862,0.0,0.054287476866132015,0.9568167797655768,0.9568167797655768,0.006785934608266502,0.0,0.0,0.0012338062924120913,0.0,0.0,0.0,0.009253547193090685,6,Manchester
020226,English-UK,Gail,1753,3,3,1,1,30.0,tape paused,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.07244723331431831,0.0,0.00912721049629207,0.010838562464346835,0.0,0.0,0.3468339988590987,0.6001140901312036,0.0,0.05305191100969766,0.9355390758699372,0.9355390758699372,0.006274957216200799,0.0,0.0,0.0022818026240730175,0.0,0.0,0.0005704506560182544,0.00912721049629207,7,Manchester
020303,English-UK,Gail,1253,3,3,1,1,30.0,Structured Play,,"West Bridgford , Nott , UK","long, toyplay, TD",,0.06225059856344772,0.0,0.01596169193934557,0.010375099760574621,0.0,0.0,0.36233040702314445,0.5897845171588189,0.0,0.047885075818036714,0.9433359936153233,0.9433359936153233,0.007980845969672785,0.0,0.0,0.0,0.0,0.0,0.0,0.01596169193934557,6,Manchester
011101,English-UK,Joel,1327,3,3,1,1,30.0,Structured Play,"basket of food , doll and Duplo zoo","Sandiacre , Nott , UK","long, toyplay, TD",,0.08214016578749057,0.0,0.0346646571213263,0.009796533534287867,0.0,0.0,0.25772418990203466,0.6473247927656368,0.0,0.09495101733232857,0.8997739261492087,0.8997739261492087,0.09118311981914091,0.01281085154483798,0.0746043707611153,0.01281085154483798,0.0,0.0,0.002260738507912585,0.03617181612660136,10,Manchester
011111,English-UK,Joel,1523,4,4,1,2,30.0,CHI turns electronic baby walker on,"basket of food , Duplo Zoo and doll","Sandiacre , Nott , UK","long, toyplay, TD",,0.07550886408404466,0.0,0.030860144451739988,0.011818778726198293,0.0,0.0,0.26986211424819434,0.5837163493105713,0.0,0.1437951411687459,0.9139855548260013,0.9139855548260013,0.0840446487196323,0.007879185817465528,0.07025607353906763,0.013788575180564675,0.0,0.0,0.003282994090610637,0.0334865397242285,10,Manchester
011122,English-UK,Joel,1819,3,3,1,1,30.0,Structured Play,"Duplo Zoo , basket of food and doll","Sandiacre , Nott , UK","long, toyplay, TD",,0.07091808686091258,0.0,0.035184167124793844,0.010445299615173173,0.0,0.0,0.30951072017592085,0.5865860362836723,0.0,0.10390324354040682,0.9153380978559648,0.9153380978559648,0.07916437603078615,0.004947773501924134,0.05057724024189115,0.008796041781198461,0.0,0.0,0.0016492578339747114,0.040131940626717974,10,Manchester
011129,English-UK,Joel,1802,3,3,1,1,30.0,Structured Play,"Duplo Zoo , basket of food and doll","Sandiacre , Nott , UK","long, toyplay, TD",,0.08213096559378469,0.0,0.029411764705882353,0.009433962264150943,0.0,0.0,0.28523862375138737,0.6054384017758047,0.0,0.10932297447280799,0.9150943396226415,0.9150943396226415,0.08324084350721421,0.001664816870144284,0.05660377358490566,0.009988901220865706,0.0,0.0,0.003329633740288568,0.029966703662597113,10,Manchester
020012,English-UK,Joel,1500,3,3,1,1,30.0,Structured Play,"Duplo Zoo , basket of food and doll","Sandiacre , Nott , UK","long, toyplay, TD",,0.078,0.0,0.03866666666666667,0.016666666666666666,0.0,0.0,0.32133333333333336,0.6213333333333333,0.0,0.05733333333333333,0.9,0.9,0.086,0.004,0.036,0.012,0.0,0.0,0.005333333333333333,0.04,9,Manchester
020026,English-UK,Joel,1424,3,3,1,1,30.0,Structured Play,"basket of food , doll and Duplo zoo","Sandiacre , Nott , UK","long, toyplay, TD",,0.06882022471910113,0.0,0.0351123595505618,0.011235955056179775,0.0,0.0,0.288623595505618,0.6264044943820225,0.0,0.08497191011235955,0.9143258426966292,0.9143258426966292,0.06460674157303371,0.002106741573033708,0.033707865168539325,0.010533707865168539,0.0,0.0,0.0049157303370786515,0.03651685393258427,10,Manchester
