corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Brown,English,M_new_post_OLS_cluster_child,log_cue_freq_z,0.13533770972377493,0.008114219851831502,16.679078481368382,1.8606704349348285e-62,0.11943413105154525,0.1512412883960046
Brown,English,M_new_post_MixedLM_child,Intercept,0.5507114130079958,0.022502151700155383,24.47372235092491,2.81408015447064e-132,,
Brown,English,M_new_post_MixedLM_child,COI_z,0.03247115146260736,0.007020627886446495,4.6251064702195315,3.744060272399582e-06,,
Brown,English,M_new_post_MixedLM_child,cumulative_cue_attempts_z,0.03838524048488278,0.00900518189576012,4.2625724754050305,2.020869241562267e-05,,
Brown,English,M_new_post_MixedLM_child,COI_x_cumulative,0.04327447463519865,0.009627880168114378,4.494704325310892,6.966668077774205e-06,,
Brown,English,M_new_post_MixedLM_child,prior_local_freq_z,0.10739765556122033,0.005447003259748623,19.716833355847243,1.5461053783221363e-86,,
Brown,English,M_new_post_MixedLM_child,log_cue_freq_z,0.13384677236501571,0.0068748957622421294,19.468916619815612,2.014878781699675e-84,,
Brown,English,S1_pre_OLS_cluster_cue,const,0.5661469944602338,0.03828654186155261,14.78710186225409,1.77430706132399e-49,0.4911067513190055,0.641187237601462
Brown,English,S1_pre_OLS_cluster_cue,COI_z,-0.0005774933172026375,0.03594810071556037,-0.016064640570918,0.9871828226098677,-0.07103447603231951,0.06987948939791423
Brown,English,S1_pre_OLS_cluster_cue,cumulative_cue_attempts_z,0.18724032802480783,0.04192059910345532,4.466547044395043,7.949218806340554e-06,0.10507746357169333,0.2694031924779223
Brown,English,S1_pre_OLS_cluster_cue,COI_x_cumulative,-0.06141701255901655,0.04241244517199082,-1.4480894065399548,0.14759204784377408,-0.14454387759239823,0.021709852474365146
Brown,English,S1_pre_OLS_cluster_cue,prior_local_freq_z,0.06035199169819873,0.015210594862662886,3.9677601200426054,7.255130526498079e-05,0.030539773583949503,0.09016420981244795
Brown,English,S1_pre_OLS_cluster_cue,log_cue_freq_z,0.0014044656743211967,0.03150688529817754,0.044576468318892684,0.9644448995716925,-0.0603478947751413,0.06315682612378369
Brown,English,S1_pre_MixedLM_child,Intercept,0.5661469944595648,0.4516970160849981,1.2533777605319183,0.210068261131776,,
Brown,English,S1_pre_MixedLM_child,COI_z,-0.0005774933172029411,0.02952193354651752,-0.019561500478719955,0.9843931761194168,,
Brown,English,S1_pre_MixedLM_child,cumulative_cue_attempts_z,0.18724032802479937,0.040858305707186564,4.582674802197333,4.5906567300862266e-06,,
Brown,English,S1_pre_MixedLM_child,COI_x_cumulative,-0.0614170125590081,0.038695921799971146,-1.58717016424852,0.11247411015143413,,
Brown,English,S1_pre_MixedLM_child,prior_local_freq_z,0.06035199169820039,0.017420165186629366,3.4644902072755785,0.0005312374809569361,,
Brown,English,S1_pre_MixedLM_child,log_cue_freq_z,0.0014044656743292818,0.028251445669709555,0.04971305506801418,0.9603510528841268,,
Brown,English,S4_post_OLS_cluster_cue,const,0.5440430023833575,0.009685474191646375,56.171023908420416,0.0,0.5250598217945384,0.5630261829721765
Brown,English,S4_post_OLS_cluster_cue,COI_z,0.02212103862481072,0.013162726697227253,1.6805817771382086,0.09284417783200463,-0.0036774316400985524,0.04791950888971999
