child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language
Jack,401,47,0.3516209476309227,0.011286905853356705,0.039023511836347724,0.772402718293309,-0.022231113413967912,0.03014908450491903,-0.0006485627506796765,0.04606487988272554,0.303362372982959,English-UK,English-UK
Jason,320,45,0.353125,0.07885065393780732,0.04037604484385254,0.0508306356808585,-0.01745215778221003,0.020767448930039376,0.08814429181262967,0.037580226413990066,0.19619816355647357,English-UK,English-UK
Joel,277,36,0.5018050541516246,0.007930995721849396,0.0400660629383696,0.8430857740468551,0.022829797157407364,0.03437508513383839,0.02296525895751969,0.03551081111317918,0.3035982539957519,English-UK,English-UK
John,3875,82,0.46580645161290324,-0.03709970152879327,0.030944007699298278,0.2305551355417218,-0.05025289627877917,0.022492672770492994,0.08271471152218399,0.03538802304234371,0.2853896423128153,English-UK,English-UK
Jonathan,240,39,0.55,0.08568057661278403,0.05913474466622206,0.1473643536691933,0.08480326011006925,0.034657330334219374,-0.028045435352021933,0.031100325699641905,0.28115496960429176,English-UK,English-UK
Laura,588,53,0.4370748299319728,0.1417570009488882,0.06756063704217771,0.03588581878419723,0.07114569647390262,0.031785927292699676,-0.037365474950124544,0.05896388035900669,0.24070796280648465,English-UK,English-UK
Liz,4183,78,0.38130528328950514,0.05589653973073323,0.04608461155286298,0.225163787767254,0.021276213223828368,0.03182664159857986,0.0914137480041681,0.02042639181412818,0.24531981960678673,English-UK,English-UK
Neville,1330,63,0.26090225563909775,-0.030436007097802704,0.028840114310346176,0.2912717418942118,0.02152115689014232,0.021780055420503475,0.03451150035663172,0.016015422218581574,0.12205363962238347,English-UK,English-UK
Nicole,1564,71,0.36445012787723785,0.08551253472250323,0.021134158167627617,5.20609796303451e-05,0.02957565477000028,0.009333949750158839,-0.008118856909243216,0.022065132014554956,0.17930079296736356,English-UK,English-UK
Penny,357,40,0.6106442577030813,0.0416182640294154,0.06128056679971612,0.49704730005315423,0.01524591157931493,0.061030251162246994,0.03740280402182489,0.06775209989673368,0.27682497180096155,English-UK,English-UK
Ruth,648,50,0.4521604938271605,-0.010191013619668936,0.03514671367698586,0.7718496137610357,0.0342646565033939,0.02779718695336485,0.0091352900120856,0.02573022719333643,0.23192261879214948,English-UK,English-UK
Samantha,1386,65,0.4148629148629149,-0.027687279355995242,0.0597968962307105,0.643348587436859,-0.05006957191414951,0.045788102482987224,0.1759360329767699,0.054654070796631676,0.301263818271053,English-UK,English-UK
Sean,4918,94,0.4211061407076047,0.050866840193034356,0.03807969604040612,0.18161480562623666,0.02167180526655053,0.030642209166516124,0.07055274480485019,0.03986232283809192,0.3271787759387138,English-UK,English-UK
Stella,1484,64,0.37129380053908356,0.08706432400290023,0.03576800615278603,0.014927232393527574,0.03577709980599768,0.029863641423225028,-0.02057151033415139,0.05188704214635227,0.2546056671020954,English-UK,English-UK
Thomas,166827,136,0.3821204001750316,0.01610792970800856,0.015717940196712007,0.3054520238794156,0.010306724049226638,0.013403742611103497,0.0755295845326212,0.01504440320763933,0.281058283834944,English-UK,English-UK
Warren,42815,124,0.38316010743898166,-0.008510495437519767,0.01912298770880057,0.656290810297727,-0.004954707117776871,0.01777383903005482,0.08239896080475788,0.01983014644253994,0.2812254502950684,English-UK,English-UK
