corpus,language,age_subset,n_episodes_in_subset,n_cues_in_regression,spec,predictor,beta,se,stat,p,p_naive,se_naive
Brown,English,post-24,6776,76,A_cue,COI_z,0.022929382527924952,0.1113977967513642,0.2058333575402976,0.8375360758789674,,
Brown,English,post-24,6776,76,A_cue,COI_x_logFreq,0.4642819783899037,0.0731254890660168,6.349112796644075,2.0663379840039727e-08,,
Brown,English,post-24,6776,76,A_cue,R_between_z,-0.07172842920752767,0.1020519858456869,-0.7028616700902659,0.4845413286242003,,
Brown,English,post-24,6776,76,A_cue,R_within_proxy_z,-0.07125145089901169,0.09903710557924905,-0.7194419756340374,0.4743340124015915,,
Brown,English,post-24,6776,76,A_cue,COI_x_R_between,-0.1278980600878853,0.1257899872774386,-1.0167586693986794,0.31287228947461665,,
Brown,English,post-24,6776,76,A_cue,COI_x_R_within,-0.1629601399827775,0.11050799217945446,-1.4746457407184246,0.1449228265783498,,
Brown,English,post-24,6776,76,B_episode,const,-0.22217249894201507,0.10732057819667214,-2.0701761272182964,0.03843585398036915,0.0,0.003979828983669967
Brown,English,post-24,6776,76,B_episode,logFreq_z,0.9947570932919929,0.1792869916680479,5.5484064071630925,2.882851375890479e-08,0.0,0.005012493027768575
Brown,English,post-24,6776,76,B_episode,COI_z,0.07688278373012927,0.16305812298983582,0.47150538912386314,0.6372798721277684,8.257138537661077e-45,0.00545579999823888
Brown,English,post-24,6776,76,B_episode,COI_x_logFreq,0.299891117003796,0.0710423650716928,4.221299737152039,2.4289769457775254e-05,0.0,0.003142294934049162
Brown,English,post-24,6776,76,B_episode,R_between_z,-0.1985056085811533,0.09394693281927097,-2.112954650292049,0.034604649591147535,0.0,0.003512926121981837
Brown,English,post-24,6776,76,B_episode,R_within_z,6.591949208711867e-17,2.2119197435746186e-16,0.2980193665643045,0.7656883824862153,0.9999999999999835,0.0031721779506850086
Brown,English,post-24,6776,76,B_episode,COI_x_R_between,-0.13283241595248502,0.057460773631366924,-2.3117060136477856,0.020793889771770626,0.0,0.0027043737959691386
Brown,English,post-24,6776,76,B_episode,COI_x_R_within,6.852157730108388e-17,1.4758313577923298e-16,0.4642913767842967,0.6424390012901303,0.9999999999999823,0.0031037542469665633
Manchester,English-Manchester,all,30325,102,A_cue,const,-0.33607695391187076,0.09194508440480893,-3.655192184415388,0.00042322254150640087,,
Manchester,English-Manchester,all,30325,102,A_cue,logFreq_z,0.7410989170719431,0.11247425757975539,6.5890536467549525,2.537588888448492e-09,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_z,-0.1795185304817008,0.11409866626238727,-1.573362216775353,0.11899491404012669,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_x_logFreq,0.4317189269144297,0.07761466246675665,5.562337233629541,2.4923169699278426e-07,,
Manchester,English-Manchester,all,30325,102,A_cue,R_between_z,0.052416614391999086,0.10433612261741529,0.502382234235432,0.6165735629000217,,
Manchester,English-Manchester,all,30325,102,A_cue,R_within_proxy_z,0.07532242943866384,0.07832114201047018,0.9617126040960248,0.3386613821837703,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_x_R_between,0.06342081626952853,0.08976537354414306,0.7065175998887887,0.4816139238917498,,
Manchester,English-Manchester,all,30325,102,A_cue,COI_x_R_within,0.06389352856415997,0.07874305910900017,0.8114179114595393,0.41917559528559684,,
Manchester,English-Manchester,all,30325,102,B_episode,const,-0.12323976883028082,0.11689982554702778,-1.0542339841277395,0.2917758045342277,0.0,0.001670196134681987
Manchester,English-Manchester,all,30325,102,B_episode,logFreq_z,0.8711351126834563,0.15710133471665716,5.54505226995434,2.938663701742725e-08,0.0,0.0017789290746369926
