language,child,subcorpus,window,n_episodes,truncation,mode,n_cues,outcome_mean,outcome_var,beta,se,p
English,Sarah,Brown,10,6682,0.030829093085902426,Logit,89,0.6412750673451063,0.23007578752076333,0.003406622850109398,0.09915115465528918,0.9725917755300925
English,Sarah,Brown,10,6682,0.030829093085902426,Continuous,89,0.20307180389865218,0.050947354263947184,0.0013357875958614328,0.01950322551925624,0.9453951035125856
English,Sarah,Brown,15,6682,0.04399880275366657,LPM,89,0.6950014965579168,0.21200614428753695,0.01883151832724253,0.06237740172298723,0.7627309753401097
English,Sarah,Brown,15,6682,0.04399880275366657,Logit,89,0.6950014965579168,0.21200614428753695,-0.04276786683113276,0.10945896379448107,0.6960038052740487
English,Sarah,Brown,15,6682,0.04399880275366657,Continuous,89,0.1988748061443362,0.04640415332235923,0.001622996489357607,0.01938770050422758,0.933284870386012
English,Sarah,Brown,20,6682,0.06480095779706675,LPM,89,0.7364561508530381,0.19411753953782368,-0.0034792093685929865,0.06925000694481986,0.9599301120206853
English,Sarah,Brown,20,6682,0.06480095779706675,Logit,89,0.7364561508530381,0.19411753953782368,-0.12516002187206426,0.12156477600335573,0.3032096810410315
English,Sarah,Brown,20,6682,0.06480095779706675,Continuous,89,0.19683192028748292,0.04391695312777112,0.0033507778834378256,0.01949070752378592,0.8635030268221322
English-Manchester,Anne,Manchester,3,6175,0.0011336032388663967,LPM,83,0.31497975708502024,0.21580245747807508,0.011913394796943883,0.020825407767260416,0.5672809355567083
English-Manchester,Anne,Manchester,3,6175,0.0011336032388663967,Logit,83,0.31497975708502024,0.21580245747807508,0.024806842279966008,0.1018459784752628,0.8075622124994695
English-Manchester,Anne,Manchester,3,6175,0.0011336032388663967,Continuous,83,0.13770580296896084,0.05137381654030419,0.00016278796504443863,0.010860003886938419,0.9880404149496341
English-Manchester,Anne,Manchester,5,6175,0.0029149797570850204,LPM,83,0.417165991902834,0.24317790814031418,0.022389411147209288,0.01903579373943939,0.23952523689960215
English-Manchester,Anne,Manchester,5,6175,0.0029149797570850204,Logit,83,0.417165991902834,0.24317790814031418,-0.0019663741909943214,0.0975571136945268,0.9839188212998843
English-Manchester,Anne,Manchester,5,6175,0.0029149797570850204,Continuous,83,0.13253171390013496,0.035326400818022734,0.0036502336664843535,0.010581709369529771,0.730126772537072
English-Manchester,Anne,Manchester,7,6175,0.0037246963562753035,LPM,83,0.4884210526315789,0.2499063986496855,0.03559970923573545,0.02460217358708602,0.1478927791435021
English-Manchester,Anne,Manchester,7,6175,0.0037246963562753035,Logit,83,0.4884210526315789,0.2499063986496855,-0.004140340105524705,0.09747769093754119,0.9661202438217398
