child,model,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,r2,beta_rplus_episode_z_local,p_rplus_episode_z_local,beta_rplus_between_z_local,p_rplus_between_z_local,beta_rplus_ep_x_COI_local,p_rplus_ep_x_COI_local,beta_rplus_bet_x_COI_local,p_rplus_bet_x_COI_local,language,window,subcorpus,subcorpus_norm
Carl,with_rplus,2512,74,0.6512738853503185,-0.005237123543988831,0.03994218848142399,0.895682285472813,0.32668857364020554,0.007319304814235052,0.5004779416971834,-0.0005647246251578452,0.9719865868741194,-0.0027715154491360465,0.8433518324924357,-0.004264685476808944,0.6843739951645004,English-UK,10,Manchester,Manchester
Dominic,with_rplus,1536,59,0.6178385416666666,0.013910133065810522,0.022499584908207373,0.5364174482629851,0.21914571334495958,0.0049515896357277085,0.5002586446495209,0.008289960464307921,0.6638109146214455,-0.0070865431238949115,0.4455515205945334,0.03641455162893248,0.004807812664039832,English-UK,10,Manchester,Manchester
Eleanor,with_rplus,43709,121,0.5638426868608296,0.03256685369653432,0.02713092539029002,0.22999989872785287,0.3149920715120871,0.00013301625145138067,0.9665753294425756,0.008981098058175613,0.2547619515280839,-0.004871945310399841,0.16774128525949683,0.003178290703611357,0.4300529955285445,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Frances,with_rplus,1451,74,0.6092350103376981,-0.05878880034256925,0.062108833964349804,0.3438707298694976,0.3495246440261056,0.007624527896674521,0.502838700924591,0.026018435421091658,0.048856368721973,0.004035513085359711,0.771179514187753,0.010292359866939186,0.11472657769095605,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Fraser,with_rplus,13062,100,0.5679834634818558,-0.0125581072740306,0.018170030676228403,0.4894750658379722,0.26707461144999833,-0.005853873578674083,0.35051585896386084,0.006748511437118846,0.2873494163615652,-0.0010359440783866448,0.8600187300151572,0.0005105566591129449,0.9079630009294106,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Geoffrey,with_rplus,1853,74,0.5607123583378305,0.17688661703673011,0.028288012269798532,4.0248932803615684e-10,0.37692322903468367,0.009720228484010477,0.4951170504619741,0.06653912981096988,0.00020850408129143613,0.039071764204743974,0.013416970054587321,0.005899454081528781,0.6390386674010422,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Helen,with_rplus,515,54,0.625242718446602,0.10442535369631487,0.05089933204351022,0.04020800935714008,0.3456646153426337,-0.019849123526126215,0.24518365863846137,0.0005758022455883771,0.9778963241254609,0.028009796945496216,0.18965859927135442,-0.0011020094737953117,0.9473599476208228,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Jack,with_rplus,401,47,0.46384039900249374,0.04414708726782843,0.042432411210520764,0.2981496512220112,0.3994031994977756,-0.019656524119305442,0.48084667636063705,0.034796496654645286,0.11688360496619817,-0.029076778096650446,0.3144000717061807,0.04106810193690849,0.026788866583234375,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Jason,with_rplus,320,45,0.459375,0.030956194478636866,0.03988201322277461,0.43763422459799806,0.3008236976742452,-0.008870562758871527,0.7557818508707774,0.03041135720927704,0.14851492106793232,-0.01713483286078172,0.5111638907608688,0.004875204204130689,0.8122905666821032,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Joel,with_rplus,277,36,0.6137184115523465,-0.01885244553685802,0.030263483504341025,0.5333215380633454,0.389929903280377,0.007228296548841681,0.774677449918038,0.0002874332387180663,0.9926029602770722,-0.005737288462548696,0.8616799594510551,0.0072624346385582895,0.7800218572248884,English-UK,10,Manchester,Manchester
John,with_rplus,3875,82,0.5803870967741935,-0.059394096118197966,0.05300990784382904,0.26252891899192765,0.32749569631012443,0.020848750219701298,0.002897971366425226,-0.032189727375943146,0.11828552623019085,0.008118828437705174,0.27663019239451714,-0.01955196072316196,0.18990691709766194,English-UK,10,Manchester,Manchester
Jonathan,with_rplus,240,39,0.6583333333333333,0.1806398559928687,0.0710999232376896,0.011064735011940883,0.36540907143998735,0.010392757293336448,0.7424183980806932,-0.020235393045512914,0.5770506914492113,0.00824673406960326,0.8465686169091653,-0.03715610605932668,0.29262767520287236,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
