corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Brown,English,SPEC1_MixedLM_child,Intercept,0.47989421507388746,0.020403794732880082,23.519851153008947,2.555496289447788e-122,,
Brown,English,SPEC1_MixedLM_child,age_post,0.052519392578741324,0.016311136142297494,3.2198488272407824,0.0012825821279081858,,
Brown,English,SPEC1_MixedLM_child,COI_z,0.094161309786974,0.020408810387281675,4.613757882020074,3.954530641990705e-06,,
Brown,English,SPEC1_MixedLM_child,age_x_COI,-0.04596391060523201,0.02113349764807736,-2.174931540942236,0.029635246902387058,,
Brown,English,SPEC1_MixedLM_child,log_cue_freq_z,0.06580627759331913,0.02204116391602554,2.985608103275941,0.002830150851007578,,
Brown,English,SPEC1_MixedLM_child,prior_local_freq_z,0.1229522840474229,0.004617844950912862,26.625468233427267,3.443298763271105e-156,,
Brown,English,SPEC1_MixedLM_child,age_x_log_cue_freq,0.09179715239419445,0.022730318755372358,4.038533439945623,5.378642656354313e-05,,
Brown,English,SPEC1_MixedLM_child,COI_x_log_cue_freq,0.044662210223373716,0.0031815564089714716,14.037849556095736,9.144556535296038e-45,,
Manchester,English-Manchester,BASELINE_OLS_cluster,const,0.2899869352036907,0.04074757626696372,7.1166670945972035,1.1056811150262296e-12,0.21012315326314274,0.3698507171442386
Manchester,English-Manchester,BASELINE_OLS_cluster,age_post,0.15054465493604194,0.03315280112721609,4.540933188672722,5.600577896297e-06,0.0855663587400795,0.21552295113200437
Manchester,English-Manchester,BASELINE_OLS_cluster,COI_z,0.02761386878500368,0.029501732022664935,0.9360083931271937,0.3492688663543212,-0.030208463460971592,0.08543620103097896
Manchester,English-Manchester,BASELINE_OLS_cluster,age_x_COI,0.06321635241626762,0.02038001161611454,3.101880097373558,0.0019229582854110954,0.02327226364417518,0.10316044118836007
Manchester,English-Manchester,BASELINE_MixedLM_cue,Intercept,0.04644352035223886,0.018025296222950925,2.5765745970434644,0.00997846717259554,,
Manchester,English-Manchester,BASELINE_MixedLM_cue,age_post,0.14985980477492786,0.005827001407814078,25.71816862339592,7.321605573927417e-146,,
Manchester,English-Manchester,BASELINE_MixedLM_cue,COI_z,-0.03426813134310181,0.009853344347148638,-3.4778172908387526,0.000505514370193903,,
Manchester,English-Manchester,BASELINE_MixedLM_cue,age_x_COI,0.057941214475030756,0.005968344498581314,9.708088145515642,2.78511990237349e-22,,
Manchester,English-Manchester,BASELINE_MixedLM_child,Intercept,0.29062014957162996,0.014457747494473136,20.101343565636856,7.182259744655547e-90,,
Manchester,English-Manchester,BASELINE_MixedLM_child,age_post,0.15492307338933983,0.00656477167039288,23.599156401439352,3.9317518524813836e-123,,
Manchester,English-Manchester,BASELINE_MixedLM_child,COI_z,0.02857467897906929,0.006340907934341357,4.5064018079040915,6.593617620955816e-06,,
Manchester,English-Manchester,BASELINE_MixedLM_child,age_x_COI,0.06282035453922194,0.006574362796241594,9.555352584912843,1.2316381546255826e-21,,
Manchester,English-Manchester,SPEC1_OLS_cluster,const,0.34105322626652357,0.012230388628939722,27.88572273652192,3.9752855214873805e-171,0.3170821050368735,0.36502434749617363
Manchester,English-Manchester,SPEC1_OLS_cluster,age_post,0.0869271244878814,0.013716770085508171,6.337288147719287,2.3384441595778076e-10,0.06004274913606898,0.11381149983969381
Manchester,English-Manchester,SPEC1_OLS_cluster,COI_z,-0.014151177539223615,0.017443316481963532,-0.8112664557715269,0.41721266915395794,-0.04833944961480606,0.020037094536358827
Manchester,English-Manchester,SPEC1_OLS_cluster,age_x_COI,0.012385286030570822,0.012339126216303823,1.0037409305535758,0.31550350277633565,-0.01179895695407866,0.0365695290152203
Manchester,English-Manchester,SPEC1_OLS_cluster,log_cue_freq_z,0.09223302565661114,0.014688844519741184,6.279120562046515,3.404934893918819e-10,0.06344341942340986,0.12102263188981241
Manchester,English-Manchester,SPEC1_OLS_cluster,prior_local_freq_z,0.15299256253267007,0.020709537710139166,7.387541174217837,1.4956882435020146e-13,0.1124026144843232,0.19358251058101694
Manchester,English-Manchester,SPEC1_OLS_cluster,age_x_log_cue_freq,0.031060873430768122,0.013569945999113207,2.288945986431924,0.022082490886770206,0.004464268000352836,0.05765747886118341
Manchester,English-Manchester,SPEC1_OLS_cluster,COI_x_log_cue_freq,0.015509604581427852,0.007470883479851986,2.0760067565309064,0.03789332610202118,0.0008669420282226888,0.030152267134633016
Manchester,English-Manchester,SPEC1_MixedLM_cue,Intercept,0.27258713881721075,0.017921387324375013,15.210158336707725,3.0280986690802135e-52,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,age_post,0.09670231137615015,0.0057383115611650305,16.852049657010433,1.0134067098817103e-63,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,COI_z,0.01789304591518732,0.013863167074767644,1.2906896251545912,0.1968113236393212,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,age_x_COI,0.013642225741643949,0.006616006813436958,2.0620029764686607,0.039207452597927336,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,log_cue_freq_z,0.05285354661734124,0.014120184934231578,3.743119999031198,0.0001817493775515877,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,prior_local_freq_z,0.13060781679643638,0.0020192612768451276,64.68098917862508,0.0,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,age_x_log_cue_freq,0.03865639982553458,0.006730587273196383,5.743391810619299,9.279866339460788e-09,,
Manchester,English-Manchester,SPEC1_MixedLM_cue,COI_x_log_cue_freq,0.02182358072965879,0.0047598675449831655,4.5849134505140885,4.541745288849305e-06,,
Manchester,English-Manchester,SPEC1_MixedLM_child,Intercept,0.3421698067470746,0.007701597206900586,44.42842147606635,0.0,,
Manchester,English-Manchester,SPEC1_MixedLM_child,age_post,0.08871618767807354,0.005887648936284723,15.068185728827784,2.62215200405397e-51,,
Manchester,English-Manchester,SPEC1_MixedLM_child,COI_z,-0.013516955321072978,0.006474315844083993,-2.0877812647068037,0.036817570346634534,,
Manchester,English-Manchester,SPEC1_MixedLM_child,age_x_COI,0.01238361750930762,0.006661799266241295,1.8588998278680762,0.06304133851586972,,
Manchester,English-Manchester,SPEC1_MixedLM_child,log_cue_freq_z,0.09261798287626384,0.006502728462031403,14.24294177698613,4.959456069012847e-46,,
Manchester,English-Manchester,SPEC1_MixedLM_child,prior_local_freq_z,0.1506624439202283,0.0019232024389776788,78.33935776429041,0.0,,
Manchester,English-Manchester,SPEC1_MixedLM_child,age_x_log_cue_freq,0.03150822756619837,0.006767084438359122,4.656100844197308,3.2225413559744774e-06,,
Manchester,English-Manchester,SPEC1_MixedLM_child,COI_x_log_cue_freq,0.0158813706687991,0.0013152818529172106,12.074499951151338,1.4403716914352683e-33,,
English-UK,English-UK,BASELINE_OLS_cluster,const,0.30792807318721366,0.05121832860908712,6.0120679754587165,1.8317148000035225e-09,0.20754199376506544,0.4083141526093619
English-UK,English-UK,BASELINE_OLS_cluster,age_post,0.09287535815496309,0.031342889802979945,2.963203416748538,0.003044552985770788,0.03144442296971468,0.1543062933402115
English-UK,English-UK,BASELINE_OLS_cluster,COI_z,0.029320756836799158,0.03058496834704443,0.9586655936373583,0.3377272367022278,-0.030624679591705468,0.08926619326530379
English-UK,English-UK,BASELINE_OLS_cluster,age_x_COI,0.04617532179216175,0.0185066065610502,2.4950723213268238,0.012593146050152226,0.009903039456450692,0.0824476041278728
English-UK,English-UK,BASELINE_MixedLM_cue,Intercept,0.05989236890458499,0.01325312638668006,4.519112483887523,6.209939758568403e-06,,
English-UK,English-UK,BASELINE_MixedLM_cue,age_post,0.08437530064121465,0.004623254483964434,18.250196032657705,2.061681529024687e-74,,
English-UK,English-UK,BASELINE_MixedLM_cue,COI_z,-0.0078846079248656,0.007459216376765687,-1.0570289862384128,0.2904983587156922,,
English-UK,English-UK,BASELINE_MixedLM_cue,age_x_COI,0.03117217882938152,0.004594234602925322,6.785064656805515,1.1603453334797725e-11,,
English-UK,English-UK,BASELINE_MixedLM_child,Intercept,0.30407674708355087,0.012283210916141377,24.75547714351818,2.7066182465663943e-135,,
English-UK,English-UK,BASELINE_MixedLM_child,age_post,0.1313695565756401,0.00605200133759359,21.706795694112575,1.769739081645433e-104,,
English-UK,English-UK,BASELINE_MixedLM_child,COI_z,0.02995813936518205,0.005127772229556016,5.842330357909823,5.147559603567165e-09,,
English-UK,English-UK,BASELINE_MixedLM_child,age_x_COI,0.04553670971610049,0.005201926030252431,8.7538172306327,2.0625502390347908e-18,,
English-UK,English-UK,SPEC1_OLS_cluster,const,0.3465256829184945,0.012261518913435627,28.26123625995366,1.0357472895949478e-175,0.322493547452404,0.370557818384585
English-UK,English-UK,SPEC1_OLS_cluster,age_post,0.045877918874822746,0.010484068240598894,4.375965304876917,1.2089624484005e-05,0.025329522711788705,0.06642631503785679
English-UK,English-UK,SPEC1_OLS_cluster,COI_z,0.005912701853363453,0.01554787995271077,0.3802899090645844,0.7037302252601876,-0.024560582889901976,0.03638598659662888
English-UK,English-UK,SPEC1_OLS_cluster,age_x_COI,0.008474010714369738,0.00973806300893644,0.8701946892922438,0.3841940176884643,-0.010612242062327436,0.02756026349106691
English-UK,English-UK,SPEC1_OLS_cluster,log_cue_freq_z,0.09697053516658266,0.013446009613470542,7.211844848707768,5.519884829740113e-13,0.07061684058840106,0.12332422974476426
English-UK,English-UK,SPEC1_OLS_cluster,prior_local_freq_z,0.1597108314018509,0.020123420993890796,7.936564635324034,2.0785806967506648e-15,0.12026965100808773,0.1991520117956141
English-UK,English-UK,SPEC1_OLS_cluster,age_x_log_cue_freq,0.021103026148168568,0.01089298238546167,1.9373047161385062,0.05270810611369844,-0.0002468270115655105,0.04245287930790265
English-UK,English-UK,SPEC1_OLS_cluster,COI_x_log_cue_freq,0.0211031531819836,0.007686185415141217,2.7455951219198993,0.006040125457448932,0.006038506589809771,0.03616779977415743
English-UK,English-UK,SPEC1_MixedLM_cue,Intercept,0.2745725007211163,0.01344454824676176,20.422590308101245,1.0532858887216159e-92,,
English-UK,English-UK,SPEC1_MixedLM_cue,age_post,0.05407254947570754,0.004515017773942322,11.976154288423473,4.737970276119522e-33,,
English-UK,English-UK,SPEC1_MixedLM_cue,COI_z,0.007073241379824702,0.010045902099098234,0.7040922069566683,0.48137535297184897,,
English-UK,English-UK,SPEC1_MixedLM_cue,age_x_COI,0.010697152259370181,0.004631506096723203,2.3096487483711683,0.0209076084060511,,
English-UK,English-UK,SPEC1_MixedLM_cue,log_cue_freq_z,0.04743926262610783,0.009093327621817764,5.216930984899967,1.8191200000418598e-07,,
English-UK,English-UK,SPEC1_MixedLM_cue,prior_local_freq_z,0.13377471853312656,0.0010457464879248877,127.9227040949289,0.0,,
English-UK,English-UK,SPEC1_MixedLM_cue,age_x_log_cue_freq,0.025853936821456095,0.004785050427925587,5.403064651225479,6.551183376250106e-08,,
English-UK,English-UK,SPEC1_MixedLM_cue,COI_x_log_cue_freq,0.012540445691381028,0.003384935636773263,3.7047811353173565,0.00021157333499075852,,
English-UK,English-UK,SPEC1_MixedLM_child,Intercept,0.34073425486341674,0.007545604076585891,45.15665696278971,0.0,,
English-UK,English-UK,SPEC1_MixedLM_child,age_post,0.07160642713839979,0.005224360274308263,13.70625748965617,9.313956317016537e-43,,
English-UK,English-UK,SPEC1_MixedLM_child,COI_z,0.005955866831979585,0.004628291381306961,1.2868392115575351,0.1981503366226529,,
English-UK,English-UK,SPEC1_MixedLM_child,age_x_COI,0.008724611925460602,0.00467473753110414,1.8663319314528255,0.06199493997004237,,
English-UK,English-UK,SPEC1_MixedLM_child,log_cue_freq_z,0.09787964649830037,0.004763518705628393,20.547761549177817,8.059474986855088e-94,,
English-UK,English-UK,SPEC1_MixedLM_child,prior_local_freq_z,0.1584388156011545,0.0009643514807110649,164.29571455039357,0.0,,
English-UK,English-UK,SPEC1_MixedLM_child,age_x_log_cue_freq,0.020298014643103265,0.004827474850946771,4.204685735260203,2.6144516794807193e-05,,
English-UK,English-UK,SPEC1_MixedLM_child,COI_x_log_cue_freq,0.021231881124956376,0.0007017353525022498,30.25625123381297,4.317388731077946e-201,,
