corpus,language,window,spec,predictor,beta,se,p,p_naive,ci95_low,ci95_high
Brown,English,5,C_MixedLM,COI_x_R_within,-0.01059270974533426,0.012493957581763724,0.396534539324892,,,
Brown,English,5,C_MixedLM,age_post,0.08437788644434505,0.01621906465658167,1.9674268255910587e-07,,,
Brown,English,5,C_MixedLM,age_x_COI,0.0474107299058095,0.01553385485150008,0.002272536177012084,,,
Brown,English,5,C_MixedLM,age_x_R_within,-0.01831652686430322,0.013055864165060013,0.16063626677438203,,,
Brown,English,5,C_MixedLM,age_x_COI_x_R_within,0.00996534159591416,0.012952953961448311,0.4416861824696815,,,
Manchester,English-Manchester,5,C_OLS_cluster,const,0.2643106353196967,0.025436356480674223,2.723177072062762e-25,0.0,0.2144562927196532,0.31416497791974013
Manchester,English-Manchester,5,C_OLS_cluster,logFreq_z,0.21420829021684187,0.02006163531153896,1.2970549740716127e-26,0.0,0.17488820753524853,0.2535283728984352
Manchester,English-Manchester,5,C_OLS_cluster,COI_z,-0.04106796102375275,0.02449480123153743,0.09362090828908613,2.913695096614892e-11,-0.08907688924603348,0.006940967198527978
Manchester,English-Manchester,5,C_OLS_cluster,COI_x_logFreq,0.04017563572005265,0.008253995125709498,1.1306632511502976e-06,2.1001650767064057e-189,0.023998102545092877,0.05635316889501242
Manchester,English-Manchester,5,C_OLS_cluster,R_between_z,0.02587836836181831,0.01799398555611127,0.15038648470292731,3.139381651053488e-53,-0.009389195266493712,0.06114593199013033
Manchester,English-Manchester,5,C_OLS_cluster,R_within_z,0.01463805235509942,0.01029652968629687,0.15512813789107122,0.02968222409166313,-0.005542774995789947,0.03481887970598879
Manchester,English-Manchester,5,C_OLS_cluster,COI_x_R_between,0.004950667378014343,0.007164860778933678,0.48958759335815305,1.5849667299082023e-07,-0.009092201702939265,0.018993536458967952
Manchester,English-Manchester,5,C_OLS_cluster,COI_x_R_within,-0.00977082469324866,0.00929713022346058,0.2932812736688961,0.13495759992102657,-0.027992865090810223,0.008451215704312901
Manchester,English-Manchester,5,C_OLS_cluster,age_post,0.1562440259132732,0.032722883826439904,1.799187134542275e-06,1.0172423405543869e-138,0.09210835214316275,0.2203796996833836
Manchester,English-Manchester,5,C_OLS_cluster,age_x_COI,0.05720550338561648,0.022052922475075693,0.009486370322357992,3.8725510497494146e-20,0.013982569580614217,0.10042843719061875
Manchester,English-Manchester,5,C_OLS_cluster,age_x_R_within,-0.012101831570842565,0.010285686368045477,0.23936711709127412,0.08023966058214956,-0.03226140640848629,0.008057743266801164
Manchester,English-Manchester,5,C_OLS_cluster,age_x_COI_x_R_within,0.00985737778008338,0.009783589720068327,0.31367437393393605,0.14298327834043448,-0.009318105710766848,0.02903286127093361
Manchester,English-Manchester,5,C_MixedLM,Intercept,0.20175282721039642,0.009937027871992294,1.2063532244460018e-91,,,
Manchester,English-Manchester,5,C_MixedLM,logFreq_z,0.14149237425741643,0.006779148033391867,9.681939034460298e-97,,,
Manchester,English-Manchester,5,C_MixedLM,COI_z,-0.0196428587002806,0.00903229153546787,0.029649829668566264,,,
Manchester,English-Manchester,5,C_MixedLM,COI_x_logFreq,0.028387549236020222,0.003157904156122596,2.4866568889747116e-19,,,
Manchester,English-Manchester,5,C_MixedLM,R_between_z,0.010975386000652803,0.003636890625457864,0.0025462208753223767,,,
Manchester,English-Manchester,5,C_MixedLM,R_within_z,0.00879472947538713,0.006551342889917675,0.17945610647929677,,,
Manchester,English-Manchester,5,C_MixedLM,COI_x_R_between,0.001522436869568819,0.0014806337962110954,0.30384013107622543,,,
Manchester,English-Manchester,5,C_MixedLM,COI_x_R_within,-0.010883333970384788,0.006402767325362296,0.089171194382804,,,
Manchester,English-Manchester,5,C_MixedLM,age_post,0.15660906447439307,0.006172361073429277,5.056984580617556e-142,,,
