window,child,subcorpus_norm,n_episodes,obs_window,beta,se,p
5,Carl,Manchester,5983,,-0.0158254337827555,0.0316216331255752,0.6167496280071572
5,Dominic,Manchester,1575,,0.0216702013226567,0.0362183573530846,0.5496258124484094
5,Gail,Manchester,1526,,0.0174597259082641,0.0319434975833178,0.5846662584345663
5,Joel,Manchester,3532,,0.0123370748538913,0.0287750280926416,0.668110694484777
5,John,Manchester,14831,,-0.0225534643236917,0.0229711353498777,0.3261897299296196
5,Liz,Manchester,8212,,-0.0151215011655992,0.0501806230110123,0.7631541445425898
5,Ruth,Manchester,9241,,-0.0125286334255981,0.0360646047566231,0.7282952128288588
5,Warren,Manchester,18281,,-0.0223869254633224,0.0178839391089182,0.2106466124803416
5,Abigail,UK_short_obs,4296,,0.0489670045257805,0.0327905517136958,0.1353517046000864
5,Eleanor,UK_long_long,43709,,0.0185679481731334,0.0171497657350177,0.2789442755931474
5,Frances,UK_short_obs,1451,,-0.0004158226300323,0.0324153039897934,0.9897650394560642
5,Fraser,UK_long_long,13062,,4.472873522872974e-05,0.0122445431531963,0.9970853720350698
5,Geoffrey,UK_short_obs,1853,,0.0507985002454037,0.0266278321856036,0.0564271617008817
5,Helen,UK_long_long,515,,0.1393509400709634,0.0221970117467376,3.431446958388215e-10
5,Jack,UK_short_obs,401,,0.0112869058533567,0.0390235118363477,0.772402718293309
5,Jason,UK_short_obs,320,,0.0788506539378073,0.0403760448438525,0.0508306356808585
5,Jonathan,UK_short_obs,240,,0.085680576612784,0.059134744666222,0.1473643536691933
5,Laura,UK_short_obs,588,,0.1417570009488882,0.0675606370421777,0.0358858187841972
5,Neville,UK_short_obs,1330,,-0.0304360070978027,0.0288401143103461,0.2912717418942118
5,Nicole,UK_long_long,1564,,0.0855125347225032,0.0211341581676276,5.20609796303451e-05
5,Penny,UK_short_obs,357,,0.0416182640294154,0.0612805667997161,0.4970473000531542
5,Samantha,UK_short_obs,1386,,-0.0276872793559952,0.0597968962307105,0.643348587436859
5,Sean,UK_short_obs,4918,,0.0508668401930343,0.0380796960404061,0.1816148056262366
5,Stella,UK_short_obs,1484,,0.0870643240029002,0.035768006152786,0.0149272323935275
5,Thomas,UK_long_long,166827,,0.0161079297080085,0.015717940196712,0.3054520238794156
5,April,NA_other,667,10.0,-0.008298134967009096,0.018401818253164778,0.6520320474205912
10,Adam,Brown,6707,,0.0656432488621318,0.0316487062946279,0.038068067341744
10,Eve,Brown,1570,,0.0276829767166257,0.0324963273195933,0.3942806061445272
10,Sarah,Brown,6682,,0.0421280549297146,0.0520610283368101,0.4183971234587273
10,Anne,Manchester,6175,,0.0379198671636132,0.0406940135328096,0.3514248385221526
10,Aran,Manchester,5762,,0.0335919623996808,0.0467657705874936,0.4725708882687313
10,Becky,Manchester,2415,,0.0004857894369189,0.0579849385732657,0.9933155166344364
10,Carl,Manchester,5983,,-0.0410734575508226,0.0466570051072372,0.378681769628972
10,Dominic,Manchester,1575,,0.0500410212167003,0.0299312004293535,0.0945503210730437
10,Gail,Manchester,1526,,0.0232782598625255,0.0227927611185878,0.3071120577011107
10,Joel,Manchester,3532,,0.0437091059131191,0.035917209233258,0.2236268618013189
10,John,Manchester,14831,,-0.0261607763849245,0.0441933117420765,0.5538758047781454
10,Liz,Manchester,8212,,-0.0268231537409327,0.0761985499565678,0.7248258205546697
10,Ruth,Manchester,9241,,-0.019369176272848,0.0553296565375072,0.7262872034872002
10,Warren,Manchester,18281,,-0.0342449070374627,0.0337804994018887,0.3107031079116128
10,Abigail,UK_short_obs,4296,,0.0336487499097094,0.0559618334256638,0.5476532856222213
10,Eleanor,UK_long_long,43709,,0.0299255994375293,0.0264967756354146,0.2587268884991932
10,Frances,UK_short_obs,1451,,-0.0621004220457919,0.0651295639373607,0.3403415951238205
10,Fraser,UK_long_long,13062,,-0.0149405813190168,0.0160831011166559,0.3529090525278396
10,Geoffrey,UK_short_obs,1853,,0.150557686869123,0.0427923850111563,0.0004342736845862
10,Helen,UK_long_long,515,,0.1019656956038323,0.0523780299076399,0.0515675402264823
10,Jack,UK_short_obs,401,,0.0224602923336482,0.0429024127659043,0.6006120930152257
